name,team,result
61,Mini Adler,3
62,Mini Adler,7
63,Mini Adler,9
64,Mini Adler,7
65,Mini Adler,7
66,Mini Adler,10
67,Mini Adler,11
119,Bunte Hunde,11
113,Bunte Hunde,14
118,Bunte Hunde,7
115,Bunte Hunde,3
123,Bunte Hunde,6
117,Bunte Hunde,12
114,Bunte Hunde,12
126,Bunte Hunde,6
127,Bunte Hunde,10
116,Bunte Hunde,10
120,Bunte Hunde,8
24,Putzbrunner Panther,15
25,Putzbrunner Panther,15
26,Putzbrunner Panther,10
27,Putzbrunner Panther,15
28,Putzbrunner Panther,17
29,Putzbrunner Panther,8
30,Putzbrunner Panther,12
31,Putzbrunner Panther,15
137,Seminargruppe fur Drehungen,14
138,Seminargruppe fur Drehungen,11
139,Seminargruppe fur Drehungen,11
140,Seminargruppe fur Drehungen,12
141,Seminargruppe fur Drehungen,20
142,Seminargruppe fur Drehungen,5
143,Seminargruppe fur Drehungen,16
144,Seminargruppe fur Drehungen,15
145,Seminargruppe fur Drehungen,13
146,Seminargruppe fur Drehungen,12
147,Seminargruppe fur Drehungen,12
54,Turbo Tiger,7
55,Turbo Tiger,14
56,Turbo Tiger,13
57,Turbo Tiger,9
58,Turbo Tiger,13
59,Turbo Tiger,9
60,Turbo Tiger,18
159,Turbo Tiger,13